Team,Play,Win,Draw,Lose,Goals For (GF),Goals Against (GA),Goal Difference (GD),Point
Crystal Palace,14,5,4,5,15,18,-3,19
Fulham,15,5,4,6,24,26,-2,19
Bournemouth,15,4,4,7,18,32,-14,16
Leeds,14,4,3,7,22,26,-4,15
Newcastle,15,8,6,1,29,11,18,30
Tottenham,15,9,2,4,31,21,10,29
Everton,15,3,5,7,11,17,-6,14
Leicester,15,5,2,8,25,25,0,17
Man United,14,8,2,4,20,20,0,26
West Ham,15,4,2,9,12,17,-5,14
Aston Villa,15,5,3,7,16,22,-6,18
Arsenal,14,12,1,1,33,11,22,37
Brighton,14,6,3,5,23,19,4,21
Man City,14,10,2,2,40,14,26,32
Southampton,15,3,3,9,13,27,-14,12
Wolves,15,2,4,9,8,24,-16,10
Brentford,15,4,7,4,23,25,-2,19
Nott'm Forest,15,3,4,8,11,30,-19,13
Chelsea,14,6,3,5,17,17,0,21
Liverpool,14,6,4,4,28,17,11,22
